Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-09-22,AVUV,2200963D,OMNIAB INC   12.5 EARNOUT COMMON STOCK,21075.0,0.0
2026-09-22,AVUV,2200964D,OMNIAB INC   15.00 EARNOUT COMMON STOCK,21075.0,0.0
2026-09-22,AVUV,AAP,ADVANCE AUTO PARTS INC COMMON STOCK USD.0001,1408742.0,0.19
2026-09-22,AVUV,ABCB,AMERIS BANCORP COMMON STOCK USD1.0,444393.0,0.12
2026-09-22,AVUV,ABG,ASBURY AUTOMOTIVE GROUP COMMON STOCK USD.01,128094.0,0.08
2026-09-22,AVUV,ACCO,ACCO BRANDS CORP COMMON STOCK USD.01,2170040.0,0.03
2026-09-22,AVUV,ACDC,PROFRAC HOLDING CORP A COMMON STOCK USD.01,241006.0,0.0
2026-09-22,AVUV,ACEL,ACCEL ENTERTAINMENT INC COMMON STOCK USD.0001,1833091.0,0.07
2026-09-22,AVUV,ACHC,ACADIA HEALTHCARE CO INC COMMON STOCK USD.01,2394709.0,0.23
2026-09-22,AVUV,ACIC,AMERICAN COASTAL INSURANCE C COMMON STOCK USD.0001,835282.0,0.02
2026-09-22,AVUV,ACNB,ACNB CORP COMMON STOCK USD2.5,265150.0,0.05
2026-09-22,AVUV,ACNT,ASCENT INDUSTRIES CO COMMON STOCK USD1.0,127604.0,0.01
2026-09-22,AVUV,ACT,ENACT HOLDINGS INC COMMON STOCK USD.01,872782.0,0.13
2026-09-22,AVUV,ACTG,ACACIA RESEARCH CORP COMMON STOCK USD.001,609391.0,0.01
2026-09-22,AVUV,ACU,ACME UNITED CORP COMMON STOCK USD2.5,68127.0,0.01
2026-09-22,AVUV,AD,ARRAY DIGITAL INFRASTRUCTURE COMMON STOCK USD1.0,736141.0,0.08
2026-09-22,AVUV,ADMA,ADMA BIOLOGICS INC COMMON STOCK USD.0001,8103.0,0.0
2026-09-22,AVUV,ADV,ADVANTAGE SOLUTIONS INC COMMON STOCK USD.0001,14419.0,0.0
2026-09-22,AVUV,AEO,AMERICAN EAGLE OUTFITTERS COMMON STOCK USD.01,6122056.0,0.31
2026-09-22,AVUV,AGM,FEDERAL AGRIC MTG CORP CL C COMMON STOCK USD1.0,312190.0,0.22
2026-09-22,AVUV,AGO,ASSURED GUARANTY LTD COMMON STOCK USD.01,1138368.0,0.26
2026-09-22,AVUV,AGX,ARGAN INC COMMON STOCK USD.15,144253.0,0.17
2026-09-22,AVUV,AII,AMERICAN INTEGRITY INSURANCE COMMON STOCK USD.001,322529.0,0.03
2026-09-22,AVUV,AIN,ALBANY INTL CORP CL A COMMON STOCK USD.001,1361800.0,0.26
2026-09-22,AVUV,ALG,ALAMO GROUP INC COMMON STOCK USD.1,178693.0,0.09
2026-09-22,AVUV,ALGT,ALLEGIANT TRAVEL CO COMMON STOCK USD.001,1464071.0,0.38
2026-09-22,AVUV,ALIT,ALIGHT INC   CLASS A COMMON STOCK USD.0001,198607.0,0.01
2026-09-22,AVUV,ALK,ALASKA AIR GROUP INC COMMON STOCK USD.01,4553302.0,0.61
2026-09-22,AVUV,ALKS,ALKERMES PLC COMMON STOCK USD.01,452991.0,0.06
2026-09-22,AVUV,ALRM,ALARM.COM HOLDINGS INC COMMON STOCK,18556.0,0.0
2026-09-22,AVUV,ALRS,ALERUS FINANCIAL CORP COMMON STOCK USD1.0,161025.0,0.02
2026-09-22,AVUV,ALTO,ALTO INGREDIENTS INC COMMON STOCK USD.001,535310.0,0.01
2026-09-22,AVUV,AMAL,AMALGAMATED FINANCIAL CORP COMMON STOCK USD.01,654725.0,0.1
2026-09-22,AVUV,AMCX,AMC GLOBAL MEDIA INC COMMON STOCK,1677714.0,0.06
2026-09-22,AVUV,AMPH,AMPHASTAR PHARMACEUTICALS IN COMMON STOCK USD.0001,1259167.0,0.1
2026-09-22,AVUV,AMPY,AMPLIFY ENERGY CORP COMMON STOCK USD.01,1137985.0,0.02
2026-09-22,AVUV,AMRC,AMERESCO INC CL A COMMON STOCK USD.0001,980141.0,0.08
2026-09-22,AVUV,AMSF,AMERISAFE INC COMMON STOCK USD.01,118583.0,0.01
2026-09-22,AVUV,AMTB,AMERANT BANCORP INC COMMON STOCK USD.1,887007.0,0.08
2026-09-22,AVUV,ANDE,ANDERSONS INC/THE COMMON STOCK,169756.0,0.04
2026-09-22,AVUV,ANF,ABERCROMBIE + FITCH CO CL A COMMON STOCK USD.01,1878406.0,0.82
2026-09-22,AVUV,ANIP,ANI PHARMACEUTICALS INC COMMON STOCK USD.0001,727856.0,0.18
2026-09-22,AVUV,AOUT,AMERICAN OUTDOOR BRANDS INC COMMON STOCK,58637.0,0.0
2026-09-22,AVUV,AP,AMPCO PITTSBURGH CORP COMMON STOCK USD1.0,356845.0,0.01
2026-09-22,AVUV,APAM,ARTISAN PARTNERS ASSET MA  A COMMON STOCK USD.01,306392.0,0.04
2026-09-22,AVUV,APC,ARKO PETROLEUM CORP COMMON STOCK,179454.0,0.01
2026-09-22,AVUV,APEI,AMERICAN PUBLIC EDUCATION COMMON STOCK USD.01,589034.0,0.08
2026-09-22,AVUV,APOG,APOGEE ENTERPRISES INC COMMON STOCK USD.333,1031185.0,0.12
2026-09-22,AVUV,ARCB,ARCBEST CORP COMMON STOCK USD.01,1113391.0,0.47
2026-09-22,AVUV,ARDT,ARDENT HEALTH INC COMMON STOCK USD.01,671535.0,0.02
2026-09-22,AVUV,AREC,AMERICAN RESOURCES CORP COMMON STOCK USD.0001,392443.0,0.0
2026-09-22,AVUV,ARHS,ARHAUS INC COMMON STOCK USD.001,1379363.0,0.04
2026-09-22,AVUV,AROC,ARCHROCK INC COMMON STOCK USD.01,5651792.0,0.55
2026-09-22,AVUV,AROW,ARROW FINANCIAL CORP COMMON STOCK USD1.0,427494.0,0.05
2026-09-22,AVUV,ARW,ARROW ELECTRONICS INC COMMON STOCK USD1.0,51012.0,0.04
2026-09-22,AVUV,ASB,ASSOCIATED BANC CORP COMMON STOCK USD.01,4165721.0,0.39
2026-09-22,AVUV,ASC,ARDMORE SHIPPING CORP COMMON STOCK USD.01,1550182.0,0.09
2026-09-22,AVUV,ASH,ASHLAND INC COMMON STOCK,759857.0,0.17
2026-09-22,AVUV,ASIC,ATEGRITY SPECIALTY HOLDINGS COMMON STOCK,5247.0,0.0
2026-09-22,AVUV,ASIX,ADVANSIX INC COMMON STOCK USD.01,1315943.0,0.07
2026-09-22,AVUV,ASLE,AERSALE CORP COMMON STOCK USD.0001,1223966.0,0.02
2026-09-22,AVUV,ASO,ACADEMY SPORTS + OUTDOORS IN COMMON STOCK USD.01,2323642.0,0.37
2026-09-22,AVUV,ASPN,ASPEN AEROGELS INC COMMON STOCK USD.00001,2383556.0,0.04
2026-09-22,AVUV,ASTE,ASTEC INDUSTRIES INC COMMON STOCK USD.2,91569.0,0.01
2026-09-22,AVUV,ATKR,ATKORE INC COMMON STOCK USD.01,1840467.0,0.56
2026-09-22,AVUV,ATLC,ATLANTICUS HOLDINGS CORP COMMON STOCK,219977.0,0.06
2026-09-22,AVUV,ATLO,AMES NATIONAL CORP COMMON STOCK USD2.0,178965.0,0.02
2026-09-22,AVUV,ATNI,ATN INTERNATIONAL INC COMMON STOCK USD.01,561404.0,0.05
2026-09-22,AVUV,ATROB,ASTRONICS CORP CL B COMMON STOCK USD.01,23513.0,0.01
2026-09-22,AVUV,AVD,AMERICAN VANGUARD CORP COMMON STOCK USD.1,214818.0,0.0
2026-09-22,AVUV,AVO,MISSION PRODUCE INC COMMON STOCK USD.001,1431040.0,0.06
2026-09-22,AVUV,AVT,AVNET INC COMMON STOCK USD1.0,1824240.0,0.57
2026-09-22,AVUV,AX,AXOS FINANCIAL INC COMMON STOCK USD.01,1657936.0,0.47
2026-09-22,AVUV,AXR,AMREP CORP COMMON STOCK USD.1,4124.0,0.0
2026-09-22,AVUV,AXS,AXIS CAPITAL HOLDINGS LTD COMMON STOCK USD.0125,677945.0,0.21
2026-09-22,AVUV,AZTA,AZENTA INC COMMON STOCK USD.01,352045.0,0.04
2026-09-22,AVUV,BANC,BANC OF CALIFORNIA INC COMMON STOCK USD.01,2573302.0,0.15
2026-09-22,AVUV,BANF,BANCFIRST CORP COMMON STOCK USD1.0,97284.0,0.03
2026-09-22,AVUV,BANR,BANNER CORPORATION COMMON STOCK USD.01,847266.0,0.19
2026-09-22,AVUV,BBSI,BARRETT BUSINESS SVCS INC COMMON STOCK USD.01,605161.0,0.06
2026-09-22,AVUV,BBT,BEACON FINANCIAL CORP COMMON STOCK USD.01,939701.0,0.09
2026-09-22,AVUV,BBW,BUILD A BEAR WORKSHOP INC COMMON STOCK USD.01,542046.0,0.05
2026-09-22,AVUV,BC,BRUNSWICK CORP COMMON STOCK USD.75,1958272.0,0.42
2026-09-22,AVUV,BCAL,CALIFORNIA BANCORP COMMON STOCK USD.01,630298.0,0.04
2026-09-22,AVUV,BCBP,BCB BANCORP INC COMMON STOCK,127805.0,0.0
2026-09-22,AVUV,BCC,BOISE CASCADE CO COMMON STOCK USD.01,841952.0,0.21
2026-09-22,AVUV,BCML,BAYCOM CORP COMMON STOCK,177831.0,0.02
2026-09-22,AVUV,BFH,BREAD FINANCIAL HOLDINGS INC COMMON STOCK USD.01,1243111.0,0.41
2026-09-22,AVUV,BFST,BUSINESS FIRST BANCSHARES COMMON STOCK USD1.0,948869.0,0.09
2026-09-22,AVUV,BHB,BAR HARBOR BANKSHARES COMMON STOCK USD2.0,252603.0,0.03
2026-09-22,AVUV,BHE,BENCHMARK ELECTRONICS INC COMMON STOCK USD.1,1670995.0,0.44
2026-09-22,AVUV,BHF,BRIGHTHOUSE FINANCIAL INC COMMON STOCK USD.01,2273628.0,0.38
2026-09-22,AVUV,BHRB,BURKE + HERBERT FINANCIAL SE COMMON STOCK,456045.0,0.1
2026-09-22,AVUV,BJRI,BJ S RESTAURANTS INC COMMON STOCK,991587.0,0.2
2026-09-22,AVUV,BKE,BUCKLE INC/THE COMMON STOCK USD.01,1292008.0,0.17
2026-09-22,AVUV,BKTI,BK TECHNOLOGIES CORP COMMON STOCK USD.6,73900.0,0.02
2026-09-22,AVUV,BKU,BANKUNITED INC COMMON STOCK USD.01,1973471.0,0.28
2026-09-22,AVUV,BKV,BKV CORPORATION COMMON STOCK USD.01,885991.0,0.06
