date,fund,company,ticker,cusip,shares,market value ($),weight (%)
08/31/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,093,870","$190,396,759.80",9.36%
08/31/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,324,457","$187,251,730.66",9.21%
08/31/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,530,823","$162,073,904.92",7.97%
08/31/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,160,836","$124,723,453.92",6.13%
08/31/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,134,324","$121,782,910.68",5.99%
08/31/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,899,797","$94,937,231.87",4.67%
08/31/2026,ARKG,NATERA INC,NTRA,632307104,"254,401","$83,000,870.26",4.08%
08/31/2026,ARKG,ILLUMINA INC,ILMN,452327109,"381,161","$82,174,499.99",4.04%
08/31/2026,ARKG,ELI LILLY & CO,LLY,532457108,"67,246","$78,987,824.06",3.88%
08/31/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"482,957","$77,997,555.50",3.83%
08/31/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,550,170","$77,182,964.30",3.79%
08/31/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,441,888","$71,596,156.16",3.52%
08/31/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"4,729,363","$64,934,153.99",3.19%
08/31/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"14,450,107","$48,263,357.38",2.37%
08/31/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,880,308","$47,364,958.52",2.33%
08/31/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,782,086","$46,708,474.06",2.30%
08/31/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"530,873","$45,832,920.46",2.25%
08/31/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,313,119","$45,568,444.30",2.24%
08/31/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,904,131","$44,113,749.89",2.17%
08/31/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"5,054,537","$42,609,746.91",2.09%
08/31/2026,ARKG,VERACYTE INC,VCYT,92337F107,"970,484","$42,060,776.56",2.07%
08/31/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"618,752","$37,774,809.60",1.86%
08/31/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,688,937","$34,606,619.19",1.70%
08/31/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"1,014,106","$31,143,195.26",1.53%
08/31/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"7,960,365","$28,736,917.65",1.41%
08/31/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"1,619,206","$24,822,427.98",1.22%
08/31/2026,ARKG,908 DEVICES INC,MASS,65443P102,"2,018,660","$21,660,221.80",1.06%
08/31/2026,ARKG,CERUS CORP,CERS,157085101,"7,919,348","$20,986,272.20",1.03%
08/31/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"11,262,519","$15,767,526.60",0.78%
08/31/2026,ARKG,FREENOME INC,FRNM,35661P100,"764,341","$11,304,603.39",0.56%
08/31/2026,ARKG,SCRIBE THERAPEUTICS INC,SCTX,811033109,"401,536","$11,419,683.84",0.56%
08/31/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"10,712,432","$10,712,432.23",0.53%
08/31/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"7,162,899","$5,587,061.22",0.27%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
