reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-01,ARKF,BLOCK INC,XYZ,852234103,790528,64839106.56,7.92
2026-09-01,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,422127,62208855.99,7.6
2026-09-01,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,593572,56715804.6,6.92
2026-09-01,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,256234,48202740.08,5.89
2026-09-01,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,433692,45455258.52,5.55
2026-09-01,ARKF,TOAST INC-CLASS A,TOST,888787108,1113239,37950317.51,4.63
2026-09-01,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,192421,35863425.98,4.38
2026-09-01,ARKF,AMAZON.COM INC,AMZN,023135106,117160,30434653.2,3.72
2026-09-01,ARKF,BULLISH,BLSH,G16910120,745851,25381309.53,3.1
2026-09-01,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,44083,25230464.22,3.08
2026-09-01,ARKF,MERCADOLIBRE INC,MELI,58733R102,12996,25162855.2,3.07
2026-09-01,ARKF,NVIDIA CORP,NVDA,67066G104,111999,24727139.22,3.02
2026-09-01,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,1137249,20334012.12,2.48
2026-09-01,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,734466,18596679.12,2.27
2026-09-01,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,79132,18279492.0,2.23
2026-09-01,ARKF,ADYEN NV,ADYEN,BZ1HM42,14294,17390158.9,2.12
2026-09-01,ARKF,SEA LTD-ADR,SE,81141R100,152376,17291628.48,2.11
2026-09-01,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1082126,15744933.3,1.92
2026-09-01,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,82300,15079006.0,1.84
2026-09-01,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,26476,14392883.12,1.76
2026-09-01,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,320209,13221429.61,1.61
2026-09-01,ARKF,DOORDASH INC - A,DASH,25809K105,56481,13088906.94,1.6
2026-09-01,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,107399,13117713.86,1.6
2026-09-01,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,26224,12344161.28,1.51
2026-09-01,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,509034,12364435.86,1.51
2026-09-01,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,685041,10063252.29,1.23
2026-09-01,ARKF,CLOUDFLARE INC - CLASS A,NET,18915M107,30470,9296701.7,1.14
2026-09-01,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,247851,7926274.98,0.97
2026-09-01,ARKF,SECURITIZE CORP,SECZ,81517B101,1179868,7621947.28,0.93
2026-09-01,ARKF,ZILLOW GROUP INC - C,Z,98954M200,146765,5130904.4,0.63
2026-09-01,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,497416,4790116.08,0.58
2026-09-01,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,39943,4199607.02,0.51
2026-09-01,ARKF,PAYPAY CORP,PAYP,70450C101,235647,3565339.11,0.44
2026-09-01,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,391405,3291716.05,0.4
2026-09-01,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,390059,889334.52,0.11
2026-09-01,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,4307,491084.14,0.06
