reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-01,ARKK,TESLA INC,TSLA,88160R101,1665805,612932949.75,9.58
2026-09-01,ARKK,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,2733919,392836821.11,6.14
2026-09-01,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,3822146,365206050.3,5.71
2026-09-01,ARKK,TEMPUS AI INC-CL A,TEM,88023B103,5463322,344462452.1,5.38
2026-09-01,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1611123,303084458.76,4.74
2026-09-01,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5251785,299246709.3,4.68
2026-09-01,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,2236108,234366479.48,3.66
2026-09-01,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,1584201,233463701.37,3.65
2026-09-01,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1681666,233751574.0,3.65
2026-09-01,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1029597,191896288.86,3.0
2026-09-01,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,3008112,187856594.4,2.94
2026-09-01,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,5818507,171238661.01,2.68
2026-09-01,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,348521,164055805.12,2.56
2026-09-01,ARKK,BLOCK INC,XYZ,852234103,1956557,160476805.14,2.51
2026-09-01,ARKK,AMAZON.COM INC,AMZN,023135106,615649,159927140.73,2.5
2026-09-01,ARKK,COREWEAVE INC-CL A,CRWV,21873S108,1888211,160290231.79,2.5
2026-09-01,ARKK,NVIDIA CORP,NVDA,67066G104,723155,159658160.9,2.49
2026-09-01,ARKK,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,822578,151551770.72,2.37
2026-09-01,ARKK,BULLISH,BLSH,G16910120,3999530,136104005.9,2.13
2026-09-01,ARKK,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,5140625,130160625.0,2.03
2026-09-01,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,9610134,122337005.82,1.91
2026-09-01,ARKK,BROADCOM INC,AVGO,11135F101,303237,112300790.58,1.75
2026-09-01,ARKK,ALPHABET INC-CL C,GOOG,02079K107,318134,106705324.94,1.67
2026-09-01,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,149189,85386832.26,1.33
2026-09-01,ARKK,CLOUDFLARE INC - CLASS A,NET,18915M107,266531,81321273.41,1.27
2026-09-01,ARKK,X-ENERGY INC,XE,98386P102,4398291,81148468.95,1.27
2026-09-01,ARKK,GENEDX HOLDINGS CORP,WGS,81663L200,942442,79928506.02,1.25
2026-09-01,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,13451975,77752415.5,1.21
2026-09-01,ARKK,ILLUMINA INC,ILMN,452327109,330321,70566475.23,1.1
2026-09-01,ARKK,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1329903,67798454.94,1.06
2026-09-01,ARKK,NATERA INC,NTRA,632307104,206389,66449002.44,1.04
2026-09-01,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,19387313,65916864.2,1.03
2026-09-01,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,148416,61640133.12,0.96
2026-09-01,ARKK,TERADYNE INC,TER,880770102,164379,57504705.57,0.9
2026-09-01,ARKK,BWX TECHNOLOGIES INC,BWXT,05605H100,357594,54457990.26,0.85
2026-09-01,ARKK,VERACYTE INC,VCYT,92337F107,1177888,50872982.72,0.79
2026-09-01,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,2135373,38180469.24,0.6
2026-09-01,ARKK,ROCKET LAB,RKLB UQ,773121108,584020,37330558.4,0.58
2026-09-01,ARKK,ELI LILLY & CO,LLY,532457108,27210,31474623.3,0.49
2026-09-01,ARKK,ALPHABET INC-CL A,GOOGL,02079K305,72573,24627647.55,0.38
2026-09-01,ARKK,CERUS CORP,CERS,157085101,8697771,22962115.44,0.36
2026-09-01,ARKK,ARK ACTIVE AUTOCALL INC ETF,ARKY,00214Q724,972093,19714046.04,0.31
2026-09-01,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12261246,16613988.33,0.26
