date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/09/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,937,022","$192,668,643.20",9.81%
09/09/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,248,670","$159,904,680.20",8.14%
09/09/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"2,480,503","$159,471,537.87",8.12%
09/09/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,143,401","$117,415,506.78",5.98%
09/09/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"6,819,725","$113,207,435.00",5.76%
09/09/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,683,081","$95,186,251.71",4.85%
09/09/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"529,351","$85,214,923.98",4.34%
09/09/2026,ARKG,NATERA INC,NTRA,632307104,"249,352","$80,824,957.28",4.12%
09/09/2026,ARKG,ILLUMINA INC,ILMN,452327109,"373,596","$78,851,171.76",4.02%
09/09/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,519,349","$76,438,448.19",3.89%
09/09/2026,ARKG,ELI LILLY & CO,LLY,532457108,"65,920","$74,088,147.20",3.77%
09/09/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,468,437","$66,228,164.71",3.37%
09/09/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"4,635,336","$65,080,117.44",3.31%
09/09/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"14,162,807","$48,720,056.08",2.48%
09/09/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,746,658","$45,640,173.54",2.32%
09/09/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,267,134","$45,410,694.02",2.31%
09/09/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,842,925","$44,856,794.50",2.28%
09/09/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"520,333","$44,680,994.71",2.28%
09/09/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,846,399","$44,489,216.37",2.27%
09/09/2026,ARKG,VERACYTE INC,VCYT,92337F107,"958,100","$40,671,345.00",2.07%
09/09/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,954,050","$37,254,456.00",1.90%
09/09/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,868,132","$36,540,001.68",1.86%
09/09/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"606,461","$34,392,403.31",1.75%
09/09/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"993,944","$29,768,622.80",1.52%
09/09/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"7,802,095","$27,775,458.20",1.41%
09/09/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"1,587,025","$25,233,697.50",1.28%
09/09/2026,ARKG,CERUS CORP,CERS,157085101,"7,761,894","$19,715,210.76",1.00%
09/09/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,978,523","$19,409,310.63",0.99%
09/09/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"11,038,595","$14,570,945.40",0.74%
09/09/2026,ARKG,SCRIBE THERAPEUTICS INC,SCTX,811033109,"415,066","$13,008,168.44",0.66%
09/09/2026,ARKG,FREENOME INC,FRNM,35661P100,"749,160","$11,979,068.40",0.61%
09/09/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"9,836,790","$9,836,790.31",0.50%
09/09/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"7,020,490","$5,335,572.40",0.27%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
