reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-02,ARKK,TESLA INC,TSLA,88160R101,1662466,591987517.94,9.53
2026-09-02,ARKK,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,2728438,388065736.74,6.25
2026-09-02,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,3814484,341320028.32,5.5
2026-09-02,ARKK,TEMPUS AI INC-CL A,TEM,88023B103,5202307,323947656.89,5.22
2026-09-02,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5241255,297808109.1,4.8
2026-09-02,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1607895,284307993.9,4.58
2026-09-02,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,2231626,230995607.26,3.72
2026-09-02,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1631523,215458927.38,3.47
2026-09-02,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,1537145,214923613.9,3.46
2026-09-02,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1027533,184873737.36,2.98
2026-09-02,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,3002082,180064878.36,2.9
2026-09-02,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,5806840,168514496.8,2.71
2026-09-02,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,347825,159863848.25,2.57
2026-09-02,ARKK,NVIDIA CORP,NVDA,67066G104,721706,156927752.64,2.53
2026-09-02,ARKK,AMAZON.COM INC,AMZN,023135106,614416,156626926.72,2.52
2026-09-02,ARKK,COREWEAVE INC-CL A,CRWV,21873S108,1884425,154240186.25,2.48
2026-09-02,ARKK,BLOCK INC,XYZ,852234103,1952636,152071291.68,2.45
2026-09-02,ARKK,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,820931,141709109.22,2.28
2026-09-02,ARKK,BULLISH,BLSH,G16910120,3991511,131959353.66,2.13
2026-09-02,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,9584442,121578646.77,1.96
2026-09-02,ARKK,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,5130317,119895508.29,1.93
2026-09-02,ARKK,BROADCOM INC,AVGO,11135F101,302631,111876628.08,1.8
2026-09-02,ARKK,ALPHABET INC-CL C,GOOG,02079K107,317498,105418860.94,1.7
2026-09-02,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,148892,86139977.68,1.39
2026-09-02,ARKK,X-ENERGY INC,XE,98386P102,4389471,80810161.11,1.3
2026-09-02,ARKK,GENEDX HOLDINGS CORP,WGS,81663L200,940555,79768469.55,1.28
2026-09-02,ARKK,CLOUDFLARE INC - CLASS A,NET,18915M107,265997,75944803.47,1.22
2026-09-02,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,13425002,74643011.12,1.2
2026-09-02,ARKK,ILLUMINA INC,ILMN,452327109,329661,68282682.93,1.1
2026-09-02,ARKK,NATERA INC,NTRA,632307104,205978,66069503.28,1.06
2026-09-02,ARKK,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1327239,65485972.26,1.05
2026-09-02,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,19348436,64430291.88,1.04
2026-09-02,ARKK,ROCKET LAB,RKLB UQ,773121108,1003452,62755888.08,1.01
2026-09-02,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,148119,61321266.0,0.99
2026-09-02,ARKK,BWX TECHNOLOGIES INC,BWXT,05605H100,356877,57649910.58,0.93
2026-09-02,ARKK,TERADYNE INC,TER,880770102,164052,55032883.92,0.89
2026-09-02,ARKK,VERACYTE INC,VCYT,92337F107,1175527,51053137.61,0.82
2026-09-02,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,2131092,36335118.6,0.59
2026-09-02,ARKK,ELI LILLY & CO,LLY,532457108,27156,31500960.0,0.51
2026-09-02,ARKK,ALPHABET INC-CL A,GOOGL,02079K305,72429,24265163.58,0.39
2026-09-02,ARKK,CERUS CORP,CERS,157085101,8680329,22655658.69,0.36
2026-09-02,ARKK,ARK ACTIVE AUTOCALL INC ETF,ARKY,00214Q724,970146,19635755.04,0.32
2026-09-02,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12236658,15662922.24,0.25
