date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/22/2026,ARKF,BLOCK INC,XYZ,852234103,"817,396","$63,683,322.36",7.35%
09/22/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"436,467","$60,197,528.64",6.95%
09/22/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"613,744","$57,992,670.56",6.69%
09/22/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"433,692","$53,474,223.60",6.17%
09/22/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"264,934","$53,264,980.70",6.15%
09/22/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"1,601,154","$45,904,925.06",5.30%
09/22/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"51,314","$38,036,245.93",4.39%
09/22/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"198,961","$36,427,769.49",4.20%
09/22/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,151,075","$34,302,035.00",3.96%
09/22/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"121,132","$31,306,565.40",3.61%
09/22/2026,ARKF,BULLISH,BLSH,G16910120,"771,195","$30,955,767.30",3.57%
09/22/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"115,803","$26,331,286.14",3.04%
09/22/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"13,428","$24,445,271.16",2.82%
09/22/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,693,474.59",2.50%
09/22/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"759,426","$21,453,784.50",2.48%
09/22/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,175,901","$19,955,039.97",2.30%
09/22/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"73,289","$18,274,612.15",2.11%
09/22/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"331,093","$16,968,516.25",1.96%
09/22/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"27,112","$16,687,978.24",1.93%
09/22/2026,ARKF,SECURITIZE CORP,SECZ,81517B101,"1,219,972","$16,469,622.00",1.90%
09/22/2026,ARKF,SEA LTD-ADR,SE,81141R100,"157,548","$16,172,302.20",1.87%
09/22/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,118,906","$15,731,818.36",1.82%
09/22/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"14,774","$15,093,487.28",1.74%
09/22/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"85,096","$14,197,416.64",1.64%
09/22/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"27,376","$14,147,095.52",1.63%
09/22/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"111,047","$12,664,910.35",1.46%
09/22/2026,ARKF,KALSHI INC.,,PPKALSHIC,"11,252","$11,998,909.34",1.38%
09/22/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"526,338","$11,563,645.86",1.33%
09/22/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"58,401","$11,319,865.83",1.31%
09/22/2026,ARKF,CLOUDFLARE INC - CLASS A,NET,18915M107,"31,502","$11,078,308.34",1.28%
09/22/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"708,321","$9,689,831.28",1.12%
09/22/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"256,275","$7,347,404.25",0.85%
09/22/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"514,324","$5,539,269.48",0.64%
09/22/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"151,745","$4,650,984.25",0.54%
09/22/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"243,651","$4,317,495.72",0.50%
09/22/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"416,534","$4,027,883.78",0.46%
09/22/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"41,299","$3,983,288.55",0.46%
09/22/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,521,757","$3,521,757.49",0.41%
09/22/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"403,307","$984,069.08",0.11%
09/22/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"4,451","$515,203.25",0.06%
09/22/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"78,805","$133,969.01",0.02%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
