Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-09-02,AVUV,ASIX,ADVANSIX INC COMMON STOCK USD.01,1287037.0,0.07
2026-09-02,AVUV,ASLE,AERSALE CORP COMMON STOCK USD.0001,1183417.0,0.02
2026-09-02,AVUV,ASO,ACADEMY SPORTS + OUTDOORS IN COMMON STOCK USD.01,2259406.0,0.31
2026-09-02,AVUV,ASPN,ASPEN AEROGELS INC COMMON STOCK USD.00001,2554816.0,0.04
2026-09-02,AVUV,ASTE,ASTEC INDUSTRIES INC COMMON STOCK USD.2,99077.0,0.01
2026-09-02,AVUV,ATKR,ATKORE INC COMMON STOCK USD.01,1736821.0,0.52
2026-09-02,AVUV,ATLC,ATLANTICUS HOLDINGS CORP COMMON STOCK,212633.0,0.06
2026-09-02,AVUV,ATLO,AMES NATIONAL CORP COMMON STOCK USD2.0,167525.0,0.02
2026-09-02,AVUV,ATNI,ATN INTERNATIONAL INC COMMON STOCK USD.01,547154.0,0.05
2026-09-02,AVUV,ATROB,ASTRONICS CORP CL B COMMON STOCK USD.01,25638.0,0.01
2026-09-02,AVUV,AVD,AMERICAN VANGUARD CORP COMMON STOCK USD.1,223966.0,0.0
2026-09-02,AVUV,AVO,MISSION PRODUCE INC COMMON STOCK USD.001,1396273.0,0.06
2026-09-02,AVUV,AVT,AVNET INC COMMON STOCK USD1.0,2004286.0,0.57
2026-09-02,AVUV,AX,AXOS FINANCIAL INC COMMON STOCK USD.01,1657466.0,0.5
2026-09-02,AVUV,AXR,AMREP CORP COMMON STOCK USD.1,4124.0,0.0
2026-09-02,AVUV,AXS,AXIS CAPITAL HOLDINGS LTD COMMON STOCK USD.0125,680966.0,0.22
2026-09-02,AVUV,AZTA,AZENTA INC COMMON STOCK USD.01,352900.0,0.04
2026-09-02,AVUV,BANC,BANC OF CALIFORNIA INC COMMON STOCK USD.01,3030765.0,0.18
2026-09-02,AVUV,BANF,BANCFIRST CORP COMMON STOCK USD1.0,70842.0,0.02
2026-09-02,AVUV,BANR,BANNER CORPORATION COMMON STOCK USD.01,814598.0,0.18
2026-09-02,AVUV,BBSI,BARRETT BUSINESS SVCS INC COMMON STOCK USD.01,502034.0,0.05
2026-09-02,AVUV,BBT,BEACON FINANCIAL CORP COMMON STOCK USD.01,778594.0,0.08
2026-09-02,AVUV,BBW,BUILD A BEAR WORKSHOP INC COMMON STOCK USD.01,533000.0,0.05
2026-09-02,AVUV,BC,BRUNSWICK CORP COMMON STOCK USD.75,1906714.0,0.45
2026-09-02,AVUV,BCAL,CALIFORNIA BANCORP COMMON STOCK USD.01,601956.0,0.04
2026-09-02,AVUV,BCBP,BCB BANCORP INC COMMON STOCK,132374.0,0.0
2026-09-02,AVUV,BCC,BOISE CASCADE CO COMMON STOCK USD.01,831809.0,0.2
2026-09-02,AVUV,BCML,BAYCOM CORP COMMON STOCK,178610.0,0.02
2026-09-02,AVUV,BFH,BREAD FINANCIAL HOLDINGS INC COMMON STOCK USD.01,1262402.0,0.43
2026-09-02,AVUV,BFST,BUSINESS FIRST BANCSHARES COMMON STOCK USD1.0,933703.0,0.09
2026-09-02,AVUV,BHB,BAR HARBOR BANKSHARES COMMON STOCK USD2.0,227996.0,0.03
2026-09-02,AVUV,BHE,BENCHMARK ELECTRONICS INC COMMON STOCK USD.1,1676372.0,0.38
2026-09-02,AVUV,BHF,BRIGHTHOUSE FINANCIAL INC COMMON STOCK USD.01,2234227.0,0.38
2026-09-02,AVUV,BHRB,BURKE + HERBERT FINANCIAL SE COMMON STOCK,457839.0,0.1
2026-09-02,AVUV,BJRI,BJ S RESTAURANTS INC COMMON STOCK,961491.0,0.19
2026-09-02,AVUV,BKE,BUCKLE INC/THE COMMON STOCK USD.01,1264533.0,0.17
2026-09-02,AVUV,BKTI,BK TECHNOLOGIES CORP COMMON STOCK USD.6,74071.0,0.02
2026-09-02,AVUV,BKU,BANKUNITED INC COMMON STOCK USD.01,2009310.0,0.29
2026-09-02,AVUV,BKV,BKV CORPORATION COMMON STOCK USD.01,857395.0,0.07
2026-09-02,AVUV,BLBD,BLUE BIRD CORP COMMON STOCK USD.0001,1121105.0,0.22
2026-09-02,AVUV,BLMN,BLOOMIN  BRANDS INC COMMON STOCK USD.01,2332942.0,0.07
2026-09-02,AVUV,BNED,BARNES + NOBLE EDUCATION INC COMMON STOCK USD.01,454165.0,0.02
2026-09-02,AVUV,BOBS,BOB S DISCOUNT FURNITURE COMMON STOCK,258160.0,0.01
2026-09-02,AVUV,BOH,BANK OF HAWAII CORP COMMON STOCK USD.01,1123440.0,0.27
2026-09-02,AVUV,BOOM,DMC GLOBAL INC COMMON STOCK,263417.0,0.01
2026-09-02,AVUV,BOW,BOWHEAD SPECIALTY HOLDINGS I COMMON STOCK USD.01,245125.0,0.03
2026-09-02,AVUV,BPRN,PRINCETON BANCORP INC COMMON STOCK,13422.0,0.0
2026-09-02,AVUV,BSET,BASSETT FURNITURE INDS COMMON STOCK USD5.0,53623.0,0.0
2026-09-02,AVUV,BSRR,SIERRA BANCORP COMMON STOCK,349114.0,0.04
2026-09-02,AVUV,BSVN,BANK7 CORP COMMON STOCK USD.01,110080.0,0.02
2026-09-02,AVUV,BTU,PEABODY ENERGY CORP COMMON STOCK,3127145.0,0.29
2026-09-02,AVUV,BULL,WEBULL CORP COMMON STOCK USD.0001,3558582.0,0.1
2026-09-02,AVUV,BUSE,FIRST BUSEY CORP COMMON STOCK USD.001,2061185.0,0.2
2026-09-02,AVUV,BVS,BIOVENTUS INC   A COMMON STOCK USD.001,1538468.0,0.07
2026-09-02,AVUV,BWB,BRIDGEWATER BANCSHARES INC COMMON STOCK USD.001,666165.0,0.05
2026-09-02,AVUV,BWEN,BROADWIND INC COMMON STOCK USD.001,83240.0,0.0
2026-09-02,AVUV,BWFG,BANKWELL FINANCIAL GROUP INC COMMON STOCK,158836.0,0.03
2026-09-02,AVUV,BXC,BLUELINX HOLDINGS INC COMMON STOCK USD.01,151541.0,0.04
2026-09-02,AVUV,BY,BYLINE BANCORP INC COMMON STOCK USD.01,895103.0,0.11
2026-09-02,AVUV,BYD,BOYD GAMING CORP COMMON STOCK USD.01,1370029.0,0.33
2026-09-02,AVUV,BZH,BEAZER HOMES USA INC COMMON STOCK USD.001,163511.0,0.02
2026-09-02,AVUV,CABO,CABLE ONE INC COMMON STOCK USD.01,184449.0,0.02
2026-09-02,AVUV,CAC,CAMDEN NATIONAL CORP COMMON STOCK,376907.0,0.07
2026-09-02,AVUV,CACC,CREDIT ACCEPTANCE CORP COMMON STOCK USD.01,116233.0,0.22
2026-09-02,AVUV,CAKE,CHEESECAKE FACTORY INC/THE COMMON STOCK USD.01,1815943.0,0.63
2026-09-02,AVUV,CAL,CALERES INC COMMON STOCK USD.01,1200851.0,0.05
2026-09-02,AVUV,CALM,CAL MAINE FOODS INC COMMON STOCK USD.01,2187472.0,0.55
2026-09-02,AVUV,CALY,CALLAWAY GOLF COMPANY COMMON STOCK,2148769.0,0.11
2026-09-02,AVUV,CARE,CARTER BANKSHARES INC COMMON STOCK USD1.0,705833.0,0.07
2026-09-02,AVUV,CARS,CARS.COM INC COMMON STOCK USD.01,2193678.0,0.08
2026-09-02,AVUV,CASS,CASS INFORMATION SYSTEMS INC COMMON STOCK USD.5,32655.0,0.01
2026-09-02,AVUV,CATY,CATHAY GENERAL BANCORP COMMON STOCK USD.01,1824668.0,0.36
2026-09-02,AVUV,CBAN,COLONY BANKCORP COMMON STOCK USD1.0,450740.0,0.03
2026-09-02,AVUV,CBC,CENTRAL BANCOMPANY COMMON STOCK,28479.0,0.0
2026-09-02,AVUV,CBFV,CB FINANCIAL SERVICES INC COMMON STOCK,12202.0,0.0
2026-09-02,AVUV,CBK,COMMERCIAL BANCGROUP INC COMMON STOCK USD.01,152251.0,0.02
2026-09-02,AVUV,CBNA,CHAIN BRIDGE BANCORP INC A COMMON STOCK USD.01,18654.0,0.0
2026-09-02,AVUV,CBNK,CAPITAL BANCORP INC/MD COMMON STOCK USD.01,291302.0,0.03
2026-09-02,AVUV,CBRL,CRACKER BARREL OLD COUNTRY COMMON STOCK USD.01,1026138.0,0.18
2026-09-02,AVUV,CBT,CABOT CORP COMMON STOCK USD1.0,2665524.0,0.7
2026-09-02,AVUV,CC,CHEMOURS CO/THE COMMON STOCK USD.01,2128409.0,0.11
2026-09-02,AVUV,CCBG,CAPITAL CITY BANK GROUP INC COMMON STOCK USD.01,425451.0,0.07
2026-09-02,AVUV,CCLD,CARECLOUD INC COMMON STOCK USD.001,473357.0,0.0
2026-09-02,AVUV,CCNE,CNB FINANCIAL CORP/PA COMMON STOCK,779444.0,0.08
2026-09-02,AVUV,CCS,CENTURY COMMUNITIES INC COMMON STOCK USD.01,653261.0,0.13
2026-09-02,AVUV,CENT,CENTRAL GARDEN + PET CO COMMON STOCK USD.01,399659.0,0.05
2026-09-02,AVUV,CENTA,CENTRAL GARDEN AND PET CO A COMMON STOCK USD.01,2539415.0,0.3
2026-09-02,AVUV,CFBK,CF BANKSHARES INC COMMON STOCK USD.01,99269.0,0.01
