fund,ticker,company,previous_reported_date,current_reported_date,previous_shares,current_shares,raw_shares_delta,previous_weight,current_weight,weight_delta,estimated_creation_redemption_factor,flow_factor_confidence,flow_factor_sample_size,flow_adjusted_manager_delta,flow_adjusted_direction
ARKK,TWST,TWIST BIOSCIENCE CORP,2026-09-24,2026-09-25,2018564,2014420,-4144,3.64,4.16,0.52,-0.00205277833822215,0.9761904761904762,42,-0.3355464849155396,Flow/Noise
ARKK,SOFI,SOFI TECHNOLOGIES INC,2026-09-24,2026-09-25,2780377,2774669,-5708,0.52,0.52,0.0,-0.00205277833822215,0.9761904761904762,42,-0.5023223087191582,Flow/Noise
ARKK,SPCX,SPACE EXPLORATION TECHN-CL A,2026-09-24,2026-09-25,3559723,3552415,-7308,6.01,5.9,-0.10999999999999943,-0.00205277833822215,0.9761904761904762,42,-0.67773552890867,Flow/Noise
ARKK,COIN,COINBASE GLOBAL INC -CLASS A,2026-09-24,2026-09-25,2051302,2047090,-4212,4.62,4.57,-0.04999999999999982,-0.00205277833822215,0.9761904761904762,42,-1.1316892481409013,Flow/Noise
ARKK,BLSH,BULLISH,2026-09-24,2026-09-25,5030622,5020294,-10328,2.3,2.23,-0.06999999999999984,-0.00205277833822215,0.9761904761904762,42,-1.2481306158006191,Flow/Noise
ARKK,BMNR,BITMINE IMMERSION TECHNOLOGI,2026-09-24,2026-09-25,6497901,6484561,-13340,2.03,2.04,0.010000000000000231,-0.00205277833822215,0.9761904761904762,42,-1.2495832880958915,Flow/Noise
ARKK,BEAM,BEAM THERAPEUTICS INC,2026-09-24,2026-09-25,8064075,8047519,-16556,2.24,2.23,-0.010000000000000231,-0.00205277833822215,0.9761904761904762,42,-2.2415222013369203,Flow/Noise
ARKK,CRSP,CRISPR THERAPEUTICS AG,2026-09-24,2026-09-25,6992096,6977740,-14356,4.44,4.36,-0.08000000000000007,-0.00205277833822215,0.9761904761904762,42,-2.776792430318892,Flow/Noise
ARKK,XE,X-ENERGY INC,2026-09-24,2026-09-25,5727171,5715411,-11760,1.07,1.01,-0.06000000000000005,-0.00205277833822215,0.9761904761904762,42,-3.387431905604899,Flow/Noise
ARKK,CERS,CERUS CORP,2026-09-24,2026-09-25,11325699,11302443,-23256,0.34,0.33,-0.010000000000000009,-0.00205277833822215,0.9761904761904762,42,-6.850427575409412,Flow/Noise
ARKK,PACB,PACIFIC BIOSCIENCES OF CALIF,2026-09-24,2026-09-25,15965838,15933054,-32784,0.26,0.28,0.020000000000000018,-0.00205277833822215,0.9761904761904762,42,-9.673602035269141,Flow/Noise
ARKK,ACHR,ARCHER AVIATION INC-A,2026-09-24,2026-09-25,18243451,18205991,-37460,1.19,1.17,-0.020000000000000018,-0.00205277833822215,0.9761904761904762,42,-10.238972783088684,Flow/Noise
