Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-09-21,JEPI,AAPL,APPLE INC COMMON STOCK,2601922.0,1.94
2026-09-21,JEPI,ABBV,ABBVIE INC COMMON STOCK,2921246.0,1.7
2026-09-21,JEPI,ACN,ACCENTURE PLC COMMON,1383292.0,0.57
2026-09-21,JEPI,ADI,ANALOG DEVICES INC,357365.0,0.3
2026-09-21,JEPI,ADSK,AUTODESK INC COMMON,715988.0,0.34
2026-09-21,JEPI,AFRM,AFFIRM HOLDINGS INC,652649.0,0.1
2026-09-21,JEPI,AJG,ARTHUR J GALLAGHER & CO,1380625.0,0.72
2026-09-21,JEPI,AMD,ADVANCED MICRO DEVICES,920638.0,1.25
2026-09-21,JEPI,AMT,AMERICAN TOWER CORP REIT,745311.0,0.29
2026-09-21,JEPI,AMZN,AMAZON.COM INC COMMON,3344571.0,1.9
2026-09-21,JEPI,AON,AON PLC COMMON STOCK USD,1086633.0,0.69
2026-09-21,JEPI,APH,AMPHENOL CORP COMMON,3085900.0,0.55
2026-09-21,JEPI,AVGO,BROADCOM INC COMMON,2047278.0,1.63
2026-09-21,JEPI,AWK,AMERICAN WATER WORKS CO,453321.0,0.13
2026-09-21,JEPI,AXP,AMERICAN EXPRESS CO,712583.0,0.49
2026-09-21,JEPI,AZO,AUTOZONE INC COMMON,58664.0,0.36
2026-09-21,JEPI,BAC,BANK OF AMERICA CORP,1512621.0,0.19
2026-09-21,JEPI,BBY,BEST BUY CO INC COMMON,292657.0,0.06
2026-09-21,JEPI,BKR,BAKER HUGHES CO COMMON,1657287.0,0.21
2026-09-21,JEPI,BMY,BRISTOL-MYERS SQUIBB CO,4715291.0,0.65
2026-09-21,JEPI,BRK.B,BERKSHIRE HATHAWAY INC,202662.0,0.22
2026-09-21,JEPI,BURL,BURLINGTON STORES INC,668825.0,0.37
2026-09-21,JEPI,C,CITIGROUP INC COMMON,4151065.0,1.23
2026-09-21,JEPI,CB,CHUBB LTD COMMON STOCK,1067771.0,0.79
2026-09-21,JEPI,CDNS,CADENCE DESIGN SYSTEMS,723323.0,0.47
2026-09-21,JEPI,CHD,CHURCH & DWIGHT CO INC,1930609.0,0.41
2026-09-21,JEPI,CMG,CHIPOTLE MEXICAN GRILL,12471254.0,0.91
2026-09-21,JEPI,CMI,CUMMINS INC COMMON STOCK,318657.0,0.37
2026-09-21,JEPI,CMS,CMS ENERGY CORP COMMON,481326.0,0.07
2026-09-21,JEPI,COP,CONOCOPHILLIPS COMMON,2305188.0,0.65
2026-09-21,JEPI,COST,COSTCO WHOLESALE CORP,613982.0,1.21
2026-09-21,JEPI,CPAY,CORPAY INC,841309.0,0.73
2026-09-21,JEPI,CVS,CVS HEALTH CORP COMMON,921304.0,0.18
2026-09-21,JEPI,DASH,DOORDASH INC COMMON,1303967.0,0.56
2026-09-21,JEPI,DE,DEERE & CO COMMON STOCK,339521.0,0.51
2026-09-21,JEPI,DIS,THE WALT DISNEY COMPANY,4311872.0,0.99
2026-09-21,JEPI,DOV,DOVER CORP COMMON STOCK,1427282.0,0.58
2026-09-21,JEPI,ECL,ECOLAB INC COMMON STOCK,1775285.0,1.05
2026-09-21,JEPI,EMR,EMERSON ELECTRIC CO,2723259.0,0.91
2026-09-21,JEPI,EOG,EOG RESOURCES INC COMMON,4977861.0,1.55
2026-09-21,JEPI,EQIX,EQUINIX INC REIT USD,417321.0,0.97
2026-09-21,JEPI,ETN,EATON CORP PLC COMMON,1573953.0,1.51
2026-09-21,JEPI,ETR,ENTERGY CORP COMMON,4113056.0,0.92
2026-09-21,JEPI,EW,EDWARDS LIFESCIENCES,962638.0,0.19
2026-09-21,JEPI,FDX,FEDEX CORP COMMON STOCK,651392.0,0.42
2026-09-21,JEPI,FDXF,FEDEX FREIGHT HOLDING CO,249990.0,0.06
2026-09-21,JEPI,FTNT,FORTINET INC COMMON,896641.0,0.35
2026-09-21,JEPI,GD,GENERAL DYNAMICS CORP,343248.0,0.27
2026-09-21,JEPI,GLW,CORNING INC COMMON STOCK,594654.0,0.21
2026-09-21,JEPI,GOOGL,ALPHABET INC-CL A -,2295936.0,1.79
2026-09-21,JEPI,HLT,HILTON WORLDWIDE,260127.0,0.18
2026-09-21,JEPI,HPE,HEWLETT PACKARD,745926.0,0.1
2026-09-21,JEPI,HUM,HUMANA INC COMMON STOCK,273330.0,0.23
2026-09-21,JEPI,HWM,HOWMET AEROSPACE INC,2521930.0,1.26
2026-09-21,JEPI,INTC,INTEL CORP COMMON STOCK,1663306.0,0.45
2026-09-21,JEPI,ISRG,INTUITIVE SURGICAL INC,771310.0,0.68
2026-09-21,JEPI,JIMXX,JPMORGAN PRIME MONEY,691290148.0,1.52
2026-09-21,JEPI,JNJ,JOHNSON & COMMON,3041915.0,1.8
2026-09-21,JEPI,KDP,KEURIG DR PEPPER INC,5291847.0,0.36
2026-09-21,JEPI,KMB,KIMBERLY-CLARK CORP,951311.0,0.2
2026-09-21,JEPI,LDOS,LEIDOS HOLDINGS INC,598462.0,0.17
2026-09-21,JEPI,LIN,LINDE PLC COMMON STOCK,66665.0,0.07
2026-09-21,JEPI,LLY,ELI LILLY AND COMPANY,385322.0,0.99
2026-09-21,JEPI,LOW,LOWE'S COS INC COMMON,3448169.0,1.45
2026-09-21,JEPI,LRCX,LAM RESEARCH CORP COMMON,2335850.0,1.55
2026-09-21,JEPI,MA,MASTERCARD INC COMMON,1423292.0,1.78
2026-09-21,JEPI,MAR,MARRIOTT INTERNATIONAL,154662.0,0.12
2026-09-21,JEPI,MCD,MCDONALD'S CORP COMMON,1033134.0,0.56
2026-09-21,JEPI,MCK,MCKESSON CORP COMMON,293991.0,0.57
2026-09-21,JEPI,MDLZ,MONDELEZ INTERNATIONAL,9509057.0,1.26
2026-09-21,JEPI,MDT,MEDTRONIC PLC COMMON,2699252.0,0.54
2026-09-21,JEPI,META,META PLATFORMS INC,1303299.0,2.12
