date,fund,company,ticker,cusip,shares,market value ($),weight (%)
08/28/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"477,441","$73,683,469.53",8.87%
08/28/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,096,992","$55,591,048.22",6.70%
08/28/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"558,380","$52,621,731.20",6.34%
08/28/2026,ARKF,BLOCK INC,XYZ,852234103,"614,266","$52,120,470.10",6.28%
08/28/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"256,234","$48,868,948.48",5.89%
08/28/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"433,692","$47,602,033.92",5.73%
08/28/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,113,239","$39,152,615.63",4.72%
08/28/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"209,815","$39,010,902.95",4.70%
08/28/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"117,160","$30,023,421.60",3.62%
08/28/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"44,083","$25,175,801.30",3.03%
08/28/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"12,996","$25,092,027.00",3.02%
08/28/2026,ARKF,BULLISH,BLSH,G16910120,"745,851","$25,030,759.56",3.01%
08/28/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"104,539","$23,832,801.22",2.87%
08/28/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,137,249","$21,812,435.82",2.63%
08/28/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,693,474.59",2.61%
08/28/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"734,466","$18,824,363.58",2.27%
08/28/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"38,312","$18,262,181.04",2.20%
08/28/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"14,294","$17,977,193.18",2.17%
08/28/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"79,132","$18,038,930.72",2.17%
