Date,ETF_Ticker,Stock_Ticker,Company_Name,Shares,Weight
2026-08-13,JEPI,AAPL,APPLE INC COMMON STOCK,2601544.0,1.72
2026-08-13,JEPI,ABBV,ABBVIE INC COMMON STOCK,2919345.0,1.59
2026-08-13,JEPI,ACN,ACCENTURE PLC COMMON,1381974.0,0.53
2026-08-13,JEPI,ADI,ANALOG DEVICES INC,614303.0,0.51
2026-08-13,JEPI,ADSK,AUTODESK INC COMMON,806779.0,0.45
2026-08-13,JEPI,AFRM,AFFIRM HOLDINGS INC,655125.0,0.11
2026-08-13,JEPI,AJG,ARTHUR J GALLAGHER & CO,1478808.0,0.81
2026-08-13,JEPI,AMD,ADVANCED MICRO DEVICES,920100.0,0.96
2026-08-13,JEPI,AMT,AMERICAN TOWER CORP REIT,744670.0,0.28
2026-08-13,JEPI,AMZN,AMAZON.COM INC COMMON,3342287.0,1.92
2026-08-13,JEPI,ANET,ARISTA NETWORKS INC,140797.0,0.06
2026-08-13,JEPI,AON,AON PLC COMMON STOCK USD,1080692.0,0.84
2026-08-13,JEPI,APH,AMPHENOL CORP COMMON,1951483.0,0.7
2026-08-13,JEPI,AVGO,BROADCOM INC COMMON,1869189.0,1.69
2026-08-13,JEPI,AWK,AMERICAN WATER WORKS CO,453296.0,0.13
2026-08-13,JEPI,AXP,AMERICAN EXPRESS CO,1018939.0,0.76
2026-08-13,JEPI,AZO,AUTOZONE INC COMMON,58791.0,0.39
2026-08-13,JEPI,BAC,BANK OF AMERICA CORP,1511723.0,0.21
2026-08-13,JEPI,BBY,BEST BUY CO INC COMMON,513692.0,0.09
2026-08-13,JEPI,BKR,BAKER HUGHES CO COMMON,1655992.0,0.23
2026-08-13,JEPI,BMY,BRISTOL-MYERS SQUIBB CO,6596215.0,0.92
2026-08-13,JEPI,BRK.B,BERKSHIRE HATHAWAY INC,343632.0,0.38
2026-08-13,JEPI,BURL,BURLINGTON STORES INC,693474.0,0.53
2026-08-13,JEPI,C,CITIGROUP INC COMMON,2920243.0,0.88
2026-08-13,JEPI,CB,CHUBB LTD COMMON STOCK,879004.0,0.66
2026-08-13,JEPI,CDNS,CADENCE DESIGN SYSTEMS,974525.0,0.68
2026-08-13,JEPI,CHD,CHURCH & DWIGHT CO INC,1929389.0,0.42
2026-08-13,JEPI,CMG,CHIPOTLE MEXICAN GRILL,13828851.0,0.98
2026-08-13,JEPI,CMI,CUMMINS INC COMMON STOCK,320113.0,0.44
2026-08-13,JEPI,CMS,CMS ENERGY CORP COMMON,1222593.0,0.19
2026-08-13,JEPI,COP,CONOCOPHILLIPS COMMON,1636772.0,0.44
2026-08-13,JEPI,COST,COSTCO WHOLESALE CORP,613395.0,1.28
2026-08-13,JEPI,CPAY,CORPAY INC,840612.0,0.77
2026-08-13,JEPI,CVS,CVS HEALTH CORP COMMON,920733.0,0.19
2026-08-13,JEPI,DASH,DOORDASH INC COMMON,1296297.0,0.61
2026-08-13,JEPI,DE,DEERE & CO COMMON STOCK,420066.0,0.56
2026-08-13,JEPI,DIS,THE WALT DISNEY COMPANY,4293488.0,0.97
