reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-25,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,436467,63357549.72,7.32
2026-09-25,ARKF,BLOCK INC,XYZ,852234103,817396,62726969.04,7.25
2026-09-25,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,613744,57078192.0,6.6
2026-09-25,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,264934,52777502.14,6.1
2026-09-25,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,433692,52398667.44,6.06
2026-09-25,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,51314,39901253.26,4.61
2026-09-25,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,198961,38317898.99,4.43
2026-09-25,ARKF,TOAST INC-CLASS A,TOST,888787108,1151075,34658868.25,4.01
2026-09-25,ARKF,BULLISH,BLSH,G16910120,771195,30608729.55,3.54
2026-09-25,ARKF,AMAZON.COM INC,AMZN,023135106,121132,30207898.16,3.49
2026-09-25,ARKF,NVIDIA CORP,NVDA,67066G104,115803,26007037.74,3.01
2026-09-25,ARKF,MERCADOLIBRE INC,MELI,58733R102,13428,23554457.64,2.72
2026-09-25,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,759426,21286710.78,2.46
2026-09-25,ARKF,SECURITIZE CORP,SECZ,81517B101,1219972,20166137.16,2.33
2026-09-25,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,1175901,19755136.8,2.28
2026-09-25,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,73289,19030954.63,2.2
2026-09-25,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,27112,17060497.12,1.97
2026-09-25,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,331093,16167271.19,1.87
2026-09-25,ARKF,SEA LTD-ADR,SE,81141R100,157548,15869810.04,1.83
2026-09-25,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1118906,15172365.36,1.75
2026-09-25,ARKF,ADYEN NV,ADYEN,BZ1HM42,14774,14177809.25,1.64
2026-09-25,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,27376,13999538.88,1.62
2026-09-25,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,85096,12882683.44,1.49
2026-09-25,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,111047,12134105.69,1.4
2026-09-25,ARKF,CLOUDFLARE INC - CLASS A,NET,18915M107,31502,11303547.64,1.31
2026-09-25,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,526338,11195209.26,1.29
2026-09-25,ARKF,DOORDASH INC - A,DASH,25809K105,58401,10951939.53,1.27
2026-09-25,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,708321,9116091.27,1.05
2026-09-25,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,256275,6870732.75,0.79
2026-09-25,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,514324,5394790.73,0.62
2026-09-25,ARKF,ZILLOW GROUP INC - C,Z,98954M200,151745,4270104.3,0.49
2026-09-25,ARKF,PAYPAY CORP,PAYP,70450C101,243651,4037297.07,0.47
2026-09-25,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,418235,4048514.8,0.47
2026-09-25,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,41299,3832134.21,0.44
2026-09-25,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,403307,931639.17,0.11
2026-09-25,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,4451,492414.13,0.06
