reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-03,ARKW,TESLA INC,TSLA,88160R101,382699,136627369.99,7.67
2026-09-03,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,814502,87143568.98,4.89
2026-09-03,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,975879,86501914.56,4.85
2026-09-03,ARKW,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,557134,78394325.14,4.4
2026-09-03,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,512860,72759448.2,4.08
2026-09-03,ARKW,BLOCK INC,XYZ,852234103,847017,69845021.82,3.92
2026-09-03,ARKW,AMAZON.COM INC,AMZN,023135106,271568,69244408.64,3.88
2026-09-03,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,384225,67224006.0,3.77
2026-09-03,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,145911,66690081.66,3.74
2026-09-03,ARKW,NVIDIA CORP,NVDA,67066G104,281072,63075367.52,3.54
2026-09-03,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,750140,60708830.2,3.41
2026-09-03,ARKW,ALPHABET INC-CL C,GOOG,02079K107,181598,60613780.44,3.4
2026-09-03,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,80852,47933108.2,2.69
2026-09-03,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,271958,46086002.68,2.59
2026-09-03,ARKW,BROADCOM INC,AVGO,11135F101,122935,45146649.4,2.53
2026-09-03,ARKW,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,240967,44463230.84,2.49
2026-09-03,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,92547,38453278.5,2.16
2026-09-03,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,179270,36467103.4,2.05
2026-09-03,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,170164,35603413.72,2.0
2026-09-03,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,1500973,34612437.38,1.94
2026-09-03,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,125129,34127683.46,1.91
2026-09-03,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,821290,33845360.9,1.9
2026-09-03,ARKW,GITLAB INC-CL A,GTLB,37637K108,623513,30920009.67,1.73
2026-09-03,ARKW,EVERPURE INC-A,P,74624M102,326359,30165362.37,1.69
2026-09-03,ARKW,RUBRIK INC-A,RBRK,781154109,328586,28646127.48,1.61
2026-09-03,ARKW,BULLISH,BLSH,G16910120,860751,28094912.64,1.58
2026-09-03,ARKW,TOAST INC-CLASS A,TOST,888787108,708588,24120335.52,1.35
2026-09-03,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,40985,22925369.6,1.29
2026-09-03,ARKW,MERCADOLIBRE INC,MELI,58733R102,10993,22058333.94,1.24
2026-09-03,ARKW,NETFLIX INC,NFLX,64110L106,264085,21847752.05,1.23
2026-09-03,ARKW,DOORDASH INC - A,DASH,25809K105,93078,21057966.72,1.18
2026-09-03,ARKW,FIGMA INC-CL A,FIG,316841105,791137,20355955.01,1.14
2026-09-03,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,2398172,17794436.24,1.0
2026-09-03,ARKW,SNOWFLAKE INC,SNOW,833445109,54321,16613534.64,0.93
2026-09-03,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,619811,15005624.31,0.84
2026-09-03,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,63300,11600358.0,0.65
2026-09-03,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,791787,7284440.4,0.41
2026-09-03,ARKW,ALPHABET INC-CL A,GOOGL,02079K305,12145,4094322.4,0.23
2026-09-03,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,491542,3976574.78,0.22
