reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-24,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,2505347,189454340.14,9.09
2026-09-24,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,1181244,187227174.0,8.99
2026-09-24,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,2415383,184994183.97,8.88
2026-09-24,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2097978,116983253.28,5.61
2026-09-24,ARKG,PERSONALIS INC,PSNL,71535D106,6640689,108575265.15,5.21
2026-09-24,ARKG,ABSCI CORP,ABSI,00091E109,10402625,101373580.63,4.87
2026-09-24,ARKG,GUARDANT HEALTH INC,GH,40131M109,572771,100985255.01,4.85
2026-09-24,ARKG,NATERA INC,NTRA,632307104,242818,94890846.22,4.55
2026-09-24,ARKG,ILLUMINA INC,ILMN,452327109,363806,92908776.28,4.46
2026-09-24,ARKG,CAREDX INC,CDNA,14167L103,1479463,80349635.53,3.86
2026-09-24,ARKG,ELI LILLY & CO,LLY,532457108,64204,73898161.96,3.55
2026-09-24,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2651470,64616323.9,3.1
2026-09-24,ARKG,SCHRODINGER INC,SDGR,80810D103,2207624,64528849.52,3.1
2026-09-24,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,4513654,62062742.5,2.98
2026-09-24,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,13791007,51026725.9,2.45
2026-09-24,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,1794547,50049915.83,2.4
2026-09-24,ARKG,VERACYTE INC,VCYT,92337F107,1038483,45506325.06,2.18
2026-09-24,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,4824008,44380873.6,2.13
2026-09-24,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,506693,43170243.6,2.07
2026-09-24,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,1700810,40615342.8,1.95
2026-09-24,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,857318,37661979.74,1.81
2026-09-24,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2771687,36863437.1,1.77
2026-09-24,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2593169,31973773.77,1.53
2026-09-24,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,967852,31106763.28,1.49
2026-09-24,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,1545379,25529661.08,1.23
2026-09-24,ARKG,PRIME MEDICINE INC,PRME,74168J101,7597275,23779470.75,1.14
2026-09-24,ARKG,908 DEVICES INC,MASS,65443P102,1926581,21076796.14,1.01
2026-09-24,ARKG,CERUS CORP,CERS,157085101,7558130,19651138.0,0.94
2026-09-24,ARKG,SCRIBE THERAPEUTICS INC,SCTX,811033109,691834,18354356.02,0.88
2026-09-24,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,10748811,15155823.51,0.73
2026-09-24,ARKG,FREENOME INC,FRNM,35661P100,729519,11453448.3,0.55
2026-09-24,ARKG,QUANTUM-SI INC,QSI,74765K105,6836196,5186621.91,0.25
