reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-15,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,2539630,178053459.3,9.51
2026-09-15,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,1195030,161030292.5,8.6
2026-09-15,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,2373943,147682994.03,7.88
2026-09-15,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2061984,109202672.64,5.83
2026-09-15,ARKG,PERSONALIS INC,PSNL,71535D106,6526757,106320871.53,5.68
2026-09-15,ARKG,GUARDANT HEALTH INC,GH,40131M109,546193,91673033.12,4.89
2026-09-15,ARKG,ABSCI CORP,ABSI,00091E109,10224153,82713397.77,4.42
2026-09-15,ARKG,NATERA INC,NTRA,632307104,238660,81571601.4,4.36
2026-09-15,ARKG,CAREDX INC,CDNA,14167L103,1454081,76150221.97,4.07
2026-09-15,ARKG,ILLUMINA INC,ILMN,452327109,357576,74450898.96,3.97
2026-09-15,ARKG,ELI LILLY & CO,LLY,532457108,63112,71839127.36,3.84
2026-09-15,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,4436220,64502638.8,3.44
2026-09-15,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2434844,58728437.28,3.14
2026-09-15,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,13554407,46220527.87,2.47
2026-09-15,ARKG,SCHRODINGER INC,SDGR,80810D103,2169754,45022395.5,2.4
2026-09-15,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,498013,44691686.62,2.39
2026-09-15,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,1763761,43705997.58,2.33
2026-09-15,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,1671634,42660099.68,2.28
2026-09-15,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2724143,41652146.47,2.22
2026-09-15,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,747018,38426605.92,2.05
2026-09-15,ARKG,VERACYTE INC,VCYT,92337F107,916952,37787591.92,2.02
2026-09-15,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,4741254,35132692.14,1.88
2026-09-15,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2750966,32653966.42,1.74
2026-09-15,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,951248,26625431.52,1.42
2026-09-15,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,1518877,24302032.0,1.3
2026-09-15,ARKG,PRIME MEDICINE INC,PRME,74168J101,7466935,23744853.3,1.27
2026-09-15,ARKG,CERUS CORP,CERS,157085101,7428462,18942578.1,1.01
2026-09-15,ARKG,908 DEVICES INC,MASS,65443P102,1893527,18424017.71,0.98
2026-09-15,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,10564403,14261944.05,0.76
2026-09-15,ARKG,SCRIBE THERAPEUTICS INC,SCTX,811033109,397246,11686977.32,0.62
2026-09-15,ARKG,FREENOME INC,FRNM,35661P100,717003,10726364.88,0.57
2026-09-15,ARKG,QUANTUM-SI INC,QSI,74765K105,6718918,4871215.55,0.26
