reported_date,fund,company,ticker,cusip,shares,market_value,weight
2026-09-15,ARKW,TESLA INC,TSLA,88160R101,382699,137377460.03,7.56
2026-09-15,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,814502,93122013.66,5.13
2026-09-15,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,946898,92246803.16,5.08
2026-09-15,ARKW,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,557134,82539402.1,4.54
2026-09-15,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,384225,73559876.25,4.05
2026-09-15,ARKW,AMAZON.COM INC,AMZN,023135106,271568,68853350.72,3.79
2026-09-15,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,512860,68666825.4,3.78
2026-09-15,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,136636,67417568.76,3.71
2026-09-15,ARKW,BLOCK INC,XYZ,852234103,847017,67329381.33,3.71
2026-09-15,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,96636,64320921.6,3.54
2026-09-15,ARKW,ALPHABET INC-CL C,GOOG,02079K107,181598,62780244.58,3.46
2026-09-15,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,750140,62246617.2,3.43
2026-09-15,ARKW,NVIDIA CORP,NVDA,67066G104,281072,59294949.12,3.26
2026-09-15,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,271958,47133040.98,2.59
2026-09-15,ARKW,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,240967,43665630.07,2.4
2026-09-15,ARKW,BROADCOM INC,AVGO,11135F101,122935,42378153.2,2.33
2026-09-15,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,179270,42196572.6,2.32
2026-09-15,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,821290,42123964.1,2.32
2026-09-15,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,125129,41337616.44,2.28
2026-09-15,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,170164,39146228.2,2.16
2026-09-15,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,1500973,38665064.48,2.13
2026-09-15,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,92547,38685571.47,2.13
2026-09-15,ARKW,RUBRIK INC-A,RBRK,781154109,328586,32924317.2,1.81
2026-09-15,ARKW,BULLISH,BLSH,G16910120,860751,32381452.62,1.78
2026-09-15,ARKW,GITLAB INC-CL A,GTLB,37637K108,623513,30708015.25,1.69
2026-09-15,ARKW,EVERPURE INC-A,P,74624M102,326359,30605947.02,1.69
2026-09-15,ARKW,TOAST INC-CLASS A,TOST,888787108,708588,23588894.52,1.3
2026-09-15,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,40985,22800365.35,1.26
2026-09-15,ARKW,NETFLIX INC,NFLX,64110L106,264085,21211307.2,1.17
2026-09-15,ARKW,MERCADOLIBRE INC,MELI,58733R102,10993,20889338.32,1.15
2026-09-15,ARKW,DOORDASH INC - A,DASH,25809K105,93078,18945096.12,1.04
2026-09-15,ARKW,FIGMA INC-CL A,FIG,316841105,791137,18916085.67,1.04
2026-09-15,ARKW,SNOWFLAKE INC,SNOW,833445109,54321,18053584.35,0.99
2026-09-15,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,2398172,16307569.6,0.9
2026-09-15,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,619811,15402303.35,0.85
2026-09-15,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,63300,10802145.0,0.59
2026-09-15,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,791787,7836148.48,0.43
2026-09-15,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,495470,4156993.3,0.23
2026-09-15,ARKW,ALPHABET INC-CL A,GOOGL,02079K305,201,70227.39,0.0
